ID,Day,Month,Year,Colony,Locality,Municipality,Province,Region,Longtitude,Latitude
ID_2,12,8,2019,Natural,S.P. 58,LAUREANA DI BORRELLO,RC,CALABRIA,16.02927,38.51978
ID_3,25,11,2019,,ACQUA DEI MONACI,TAURIANOVA,RC,CALABRIA,15.95737,38.38856
ID_1_S_1,9,9,2019,Sentinel,C.DA PRATERIA,GALATRO,RC,CALABRIA,16.12102,38.48861
ID_2_S_1,9,9,2019,Sentinel,STRADA PROVINCIALE N. 58,LAUREANA DI BORRELLO,RC,CALABRIA,16.06018,38.50244
ID_1,9,9,2020,Natural,,CANDIDONI,RC,CALAMBRIA,16.06452,38.50524
ID_2,2,11,2020,Natural,PRATERIA,LAUREANA DI BORRELLO,RC,CALAMBRIA,16.15265,38.49107
ID_1_S_1,2,2,2020,Sentinel,C.DA FIGURELLA,TAURIANOVA,RC,CALAMBRIA,15.95193,38.36548
ID_2_S_1,10,4,2020,Sentinel,LOC. PRATERIA,SAN PIETRO DI CARIDA,RC,CALAMBRIA,16.14527,38.51533
ID_3_S_1,7,8,2020,Sentinel,C.DA FIUMICELLO,SERRATA,RC,CALAMBRIA,16.10373,38.52911
ID_4_S_1,31,8,2020,Sentinel,C.DA S. ANNA,LAUREANA DI BORRELLO,RC,CALAMBRIA,16.03230,38.51921
ID_5_S_1,11,9,2020,Sentinel,C.DA CORVO,LAUREANA DI BORRELLO,RC,CALAMBRIA,16.03346,38.51786
ID_6_S_1,11,9,2020,Sentinel,S.P. N. 58,LAUREANA DI BORRELLO,RC,CALAMBRIA,16.03230,38.51727
ID_7_S_1,22,9,2020,Sentinel,PANTANO DEI LIMBI,BAGNARA CALABRA,RC,CALAMBRIA,15.85410,38.30395
ID_8_S_1,8,10,2020,Sentinel,LOC. CATONA,REGGIO DI CALABRIA,RC,CALAMBRIA,15.64233,38.19990
ID_1,28,5,2021,,C.DA CALIPARI,VARAPODIO,RC,Calambria,15.97057,38.33481
ID_2,2,9,2021,,C.DA. TRODIO,PALMI,RC,Calambria,15.84809,38.36354
ID_3,21,9,2021,,S.P. 58,LAUREANA DI BORRELLO,RC,Calambria,16.02744,38.51747
ID_1_S_1,2,2,2021,Sentinel,ZONA INDUSTRIALE,CAMPO CALABRO,RC,Calambria,15.65592,38.21155
ID_2_S_1,15,2,2021,Sentinel,PRATERIA,SAN PIETRO DI CARIDA,RC,Calambria,16.15362,38.50543
ID_3_S_1,26,2,2021,Sentinel,VIA SOLFERINO ? ZONA PORTO,VILLA SAN GIOVANNI,RC,Calambria,15.63942,38.22649
ID_4_S_1,26,2,2021,Sentinel,SAMBATELLO,REGGIO DI CALABRIA,RC,Calambria,15.63747,38.19874
ID_5_S_1,4,3,2021,Sentinel,PRATERIA,SAN PIETRO DI CARIDA,RC,Calambria,16.18797,38.47787
ID_6_S_1,29,9,2021,Sentinel,C.DA FIUMICELLO,SERRATA,RC,Calambria,16.11246,38.51067
ID_7_S_1,29,9,2021,Sentinel,ARGHILLA,REGGIO DI CALABRIA,RC,Calambria,15.644407,38.18330
ID_8_S_1,12,11,2021,Sentinel,S.P. 58,LAUREANA DI BORRELLO,RC,Calambria,16.03113,38.51572
ID_9_S_1,24,11,2021,Sentinel,LOC. CATONA,REGGIO DI CALABRIA,RC,Calambria,15.68348,38.00928
ID_1,16,3,2022,,S.P. 58,LAUREANA DI BORRELLO,RC,CALABRIA,16.04200,38.50815
ID_2,4,4,2022,,C.DA TRODIO,PALMI,RC,CALABRIA,15.85643,38.36198
